slug,ticker,platform,strategy,scrape_url
3m,MMM,notified,notified,https://investors.3m.com/news-releases
abbott,ABT,aem,aem,https://www.abbott.com/en-us/investors
abbvie,ABBV,notified,notified,https://investors.abbvie.com/news-releases
accenture,ACN,investis,investis,https://investor.accenture.com/news-releases
adp,ADP,q4,q4_ir,https://investors.adp.com/news/default.aspx
aflac,AFL,unknown,unknown,https://investors.aflac.com/
akamai,AKAM,notified,notified,https://www.ir.akamai.com/news-releases
albemarle,ALB,unknown,unknown,https://investors.albemarle.com/
alexandria-real-estate-equities,ARE,q4,q4_ir,https://investor.are.com/news/default.aspx
allegion,ALLE,investis,investis,https://investor.allegion.com/news-and-events/news-releases
allstate,ALL,notified,notified,https://www.allstateinvestors.com/news-releases
altria,MO,notified,notified,https://www.altria.com/Investors/news-releases
amazon,AMZN,unknown,unknown,https://ir.aboutamazon.com/
amcor,AMCR,unknown,unknown,https://www.amcor.com/investors
amd,AMD,notified,notified,https://ir.amd.com/news-events/press-releases
ameriprise,AMP,q4,q4_ir,https://ir.ameriprise.com/news/default.aspx
amgen,AMGN,notified,notified,https://investors.amgen.com/news-releases
analog-devices,ADI,notified,notified,https://investor.analog.com/press-releases
apa,APA,notified,notified,https://investor.apacorp.com/news-releases
apollo,APO,notified,notified,https://ir.apollo.com/news-events/press-releases
apple,AAPL,unknown,unknown,https://investor.apple.com/
applied-materials,AMAT,notified,notified,https://ir.appliedmaterials.com/news-releases
applovin,APP,q4,q4_ir,https://investors.applovin.com/news/default.aspx
aptiv,APTV,q4,q4_ir,https://ir.aptiv.com/news/default.aspx
archer-daniels-midland,ADM,q4,q4_ir,https://www.investors.adm.com/news/default.aspx
ares,ARES,unknown,unknown,https://ir.ares.com/
arista-networks,ANET,unknown,unknown,https://investors.arista.com/
arthur-j-gallagher,AJG,q4,q4_ir,https://investor.ajg.com/news/default.aspx
assurant,AIZ,unknown,unknown,https://ir.assurant.com/
at-and-t,T,unknown,unknown,https://investors.att.com/
atmos-energy,ATO,q4,q4_ir,https://www.investors.atmosenergy.com/news/default.aspx
autodesk,ADSK,notified,notified,https://investors.autodesk.com/news-releases
autozone,AZO,notified,notified,https://about.autozone.com/investor-overview/news-releases
avery-dennison,AVY,q4,q4_ir,https://investors.averydennison.com/news/default.aspx
axon,AXON,investorroom,investorroom,https://investor.axon.com/press-releases
baxter,BAX,q4,q4_ir,https://investor.baxter.com/news/default.aspx
becton-dickinson,BDX,notified,notified,https://investors.bd.com/news-releases
bio-techne,TECH,notified,notified,https://investors.bio-techne.com/press-releases
biogen,BIIB,notified,notified,https://investors.biogen.com/news-releases
blackstone,BX,unknown,unknown,https://ir.blackstone.com/
bls,,unknown,unknown,https://www.bls.gov/newsrelease/
bny,BNY,aem,aem_bny,https://www.bny.com/corporate/global/en/investor-relations/press-releases.html
booking,BKNG,q4,q4_ir,https://ir.bookingholdings.com/news/default.aspx
broadcom,AVGO,notified,notified,https://investors.broadcom.com/news-releases
builders-firstsource,BLDR,q4,q4_ir,https://investors.bldr.com/news/default.aspx
c-h-robinson,CHRW,q4,q4_ir,https://investor.chrobinson.com/news/default.aspx
cadence,CDNS,q4,q4_ir,https://investor.cadence.com/news/default.aspx
carrier,CARR,q4,q4_ir,https://ir.carrier.com/news/default.aspx
caseys,CASY,notified,notified_gated,https://investor.caseys.com/press-releases
cbre,CBRE,notified,notified,https://ir.cbre.com/news-releases
cdw,CDW,q4,q4_ir,https://investor.cdw.com/news/default.aspx
cencora,COR,q4,q4_ir,https://investor.amerisourcebergen.com/news/default.aspx
centene,CNC,investorroom,investorroom,https://investors.centene.com/press-releases
cf-industries,CF,q4,q4_ir,https://investor.cfindustries.com/news/default.aspx
charter,CHTR,notified,notified,https://ir.charter.com/news-releases
chipotle,CMG,investorroom,investorroom,https://ir.chipotle.com/news-releases
chubb,CB,q4,q4_ir,https://investors.chubb.com/news/default.aspx
ciena,CIEN,q4,q4_ir,https://investor.ciena.com/news/default.aspx
cigna,CI,unknown,unknown,https://investors.thecignagroup.com/
cinfin,CINF,investorroom,investorroom,https://investors.cinfin.com/news-releases
cintas,CTAS,unknown,unknown,https://www.cintas.com/investors/
cisco,CSCO,q4,q4_ir,https://investor.cisco.com/news/default.aspx
citigroup,C,unknown,unknown,https://www.citigroup.com/global/investors
cme,CME,aem,aem_cme,https://www.cmegroup.com/media-room/press-releases.html
cms-energy,CMS,notified,notified,https://www.cmsenergy.com/investor-relations/news-releases
cognizant,CTSH,q4,q4_ir,https://investors.cognizant.com/news/default.aspx
coherent,COHR,aem,aem,https://www.coherent.com/company/investor-relations
coinbase,COIN,q4,q4_ir,https://investor.coinbase.com/news/default.aspx
coke,KO,notified,notified,https://investors.coca-colacompany.com/news-events/press-releases
con-edison,ED,notified,notified,https://investor.conedison.com/news-releases
conagra,CAG,unknown,unknown,https://www.conagrabrands.com/investor-relations
constellation-brands,STZ,notified,notified,https://ir.cbrands.com/news-releases
corning,GLW,q4,q4_ir,https://investor.corning.com/news-and-events/news/default.aspx
corpay,CPAY,notified,notified,https://investor.corpay.com/news-releases
corteva,CTVA,notified,notified,https://investors.corteva.com/news-releases
costar,CSGP,notified,notified,https://investors.costargroup.com/news-releases
costco,COST,q4,q4_ir,https://investor.costco.com/news/default.aspx
crh,CRH,unknown,unknown,https://www.crh.com/investors/
criver,CRL,notified,notified,https://ir.criver.com/news-releases
crowdstrike,CRWD,notified,notified,https://ir.crowdstrike.com/press-releases
crown-castle,CCI,notified,notified,https://investor.crowncastle.com/news-releases
csx,CSX,q4,q4_ir,https://investors.csx.com/news/default.aspx
cummins,CMI,unknown,unknown,https://investor.cummins.com/
cvs,CVS,q4,q4_ir,https://investors.cvshealth.com/news/default.aspx
d-r-horton,DHI,investis,investis,https://investor.drhorton.com/news-releases
danaher,DHR,investorroom,investorroom,https://investors.danaher.com/press-releases
darden-restaurants,DRI,q4,q4_ir,https://investor.darden.com/news/default.aspx
datadog,DDOG,notified,notified,https://investors.datadoghq.com/news-releases
davita,DVA,investorroom,investorroom,https://investors.davita.com/news-releases
deckers,DECK,notified,notified,https://ir.deckers.com/news-events/press-releases
deere,DE,unknown,unknown,https://investor.deere.com/
dell,DELL,notified,notified,https://investors.delltechnologies.com/news-releases
delta-air-lines,DAL,q4,q4_ir,https://ir.delta.com/news/default.aspx
devon-energy,DVN,unknown,unknown,https://investors.devonenergy.com/
dexcom,DXCM,q4,q4_ir,https://investors.dexcom.com/news/default.aspx
digital-realty-trust,DLR,notified,notified,https://investor.digitalrealty.com/news-releases
disney,DIS,q4,q4_ir,https://investors.thewaltdisneycompany.com/news/default.aspx
dollar-tree,DLTR,notified,notified,https://corporate.dollartree.com/investors/news-releases
doordash,DASH,q4,q4_ir,https://ir.doordash.com/news/default.aspx
dover,DOV,unknown,unknown,https://www.dovercorporation.com/investors
dupont,DD,unknown,unknown,https://www.investors.dupont.com/
eaton,ETN,notified,notified,https://www.eaton.com/us/en-us/company/investor-relations.html/news-releases
ebay,EBAY,q4,q4_ir,https://investors.ebayinc.com/news/default.aspx
ecolab,ECL,q4,q4_ir,https://investor.ecolab.com/news/default.aspx
edison-international,EIX,unknown,unknown,https://www.edison.com/investors
elevance-health,ELV,unknown,unknown,https://ir.elevancehealth.com/
eli-lilly,LLY,notified,notified,https://investor.lilly.com/news-releases
emcor,EME,unknown,unknown,https://emcorgroup.com/investor-relations
emerson,EMR,notified,notified,https://ir.emerson.com/news-releases
eog-resources,EOG,investorroom,investorroom,https://investors.eogresources.com/news-releases
eqt,EQT,q4,q4_ir,https://ir.eqt.com/news/default.aspx
equifax,EFX,notified,notified,https://investor.equifax.com/news-releases
erie-indemnity,ERIE,unknown,unknown,https://www.erieinsurance.com/investors
evergy,EVRG,notified,notified,https://investors.evergy.com/news-releases
exelon,EXC,notified,notified,https://investors.exeloncorp.com/news-releases
expedia,EXPE,q4,q4_ir,https://ir.expediagroup.com/news/default.aspx
extra-space,EXR,q4,q4_ir,https://ir.extraspace.com/news/default.aspx
exxonmobil,XOM,notified,notified,https://investor.exxonmobil.com/news-releases
f5,FFIV,q4,q4_ir,https://investors.f5.com/news/default.aspx
