slug                       ticker  platform      ir_url                                                           
-------------------------  ------  ------------  -----------------------------------------------------------------
abbvie                     ABBV    notified      https://investors.abbvie.com/                                    
accenture                  ACN     unknown       https://investor.accenture.com/                                  
amd                        AMD     notified      https://ir.amd.com/                                              
apollo                     APO     notified      https://ir.apollo.com/                                           
apple                      AAPL    unknown       https://investor.apple.com/                                      
applied-materials          AMAT    notified      https://ir.appliedmaterials.com/                                 
ares                       ARES    unknown       https://ir.ares.com/                                             
arista-networks            ANET    unknown       https://investors.arista.com/                                    
autozone                   AZO     notified      https://about.autozone.com/investor-overview                     
axon                       AXON    investorroom  https://investor.axon.com/                                       
bio-techne                 TECH    notified      https://investors.bio-techne.com/                                
blackstone                 BX      unknown       https://ir.blackstone.com/                                       
bls                                unknown       https://www.bls.gov/newsrelease/                                 
booking                    BKNG    q4            https://ir.bookingholdings.com/                                  
broadcom                   AVGO    notified      https://investors.broadcom.com/                                  
builders-firstsource       BLDR    q4            https://investors.bldr.com/                                      
cdw                        CDW     q4            https://investor.cdw.com/                                        
charter                    CHTR    notified      https://ir.charter.com/                                          
chipotle                   CMG     investorroom  https://ir.chipotle.com/                                         
ciena                      CIEN    q4            https://investor.ciena.com/                                      
coherent                   COHR    unknown       https://www.coherent.com/company/investor-relations              
coinbase                   COIN    q4            https://investor.coinbase.com/                                   
conagra                    CAG     notified      https://www.conagrabrands.com/investor-relations                 
constellation-brands       STZ     notified      https://ir.cbrands.com/                                          
corning                    GLW     q4            https://investor.corning.com/                                    
costco                     COST    q4            https://investor.costco.com/                                     
criver                     CRL     notified      https://ir.criver.com/                                           
datadog                    DDOG    notified      https://investors.datadoghq.com/                                 
dell                       DELL    notified      https://investors.delltechnologies.com/                          
doordash                   DASH    q4            https://ir.doordash.com/                                         
equifax                    EFX     notified      https://investor.equifax.com/                                    
expedia                    EXPE    q4            https://ir.expediagroup.com/                                     
factset                    FDS     notified      https://investor.factset.com/                                    
fedex                      FDX     unknown       https://investors.fedex.com/                                     
fedex-freight              FDXF    notified      https://ir.fedexfreight.com/                                     
flex                       FLEX    q4            https://investors.flex.com/                                      
fox                        FOXA    unknown       https://investor.foxcorporation.com/                             
ge-healthcare              GEHC    notified      https://investor.gehealthcare.com/                               
gen-digital                GEN     q4            https://investor.gendigital.com/                                 
genuine-parts              GPC     investorroom  https://www.genpt.com/overview                                   
google                     GOOGL   q4            https://abc.xyz/investor/                                        
honeywell                  HONA    notified      https://investor.honeywell.com/investor-relations                
ibm                        IBM     unknown       https://www.ibm.com/investor                                     
iqvia                      IQV     unknown       https://ir.iqvia.com/                                            
kla                        KLAC    notified      https://ir.kla.com/                                              
lam-research               LRCX    investorroom  https://investor.lamresearch.com/                                
micron                     MU      notified      https://investors.micron.com/                                    
moderna                    MRNA    unknown       https://investors.modernatx.com/                                 
msci                       MSCI    notified      https://ir.msci.com/                                             
netflix                    NFLX    unknown       https://ir.netflix.net                                           
nike                       NKE     unknown       https://investors.nike.com/                                      
nvidia                     NVDA    unknown       https://investor.nvidia.com/news/press-releases/default.aspx     
o-reilly-auto-parts        ORLY    unknown       https://corporate.oreillyauto.com/investor-relations-information/
onsemi                     ON      notified      https://investor.onsemi.com/                                     
palantir                   PLTR    unknown       https://investors.palantir.com/                                  
qualcomm                   QCOM    unknown       https://investor.qualcomm.com/                                   
robinhood                  HOOD    notified      https://investors.robinhood.com/                                 
ross-stores                ROST    notified      https://investors.rossstores.com/                                
sandisk                    SNDK    notified      https://investor.sandisk.com/                                    
seagate                    STX     q4            https://investors.seagate.com/                                   
servicenow                 NOW     unknown       https://investor.servicenow.com/                                 
skyworks                   SWKS    unknown       https://www.skyworksinc.com/investors                            
spacex                     SPCX    unknown       https://ir.spacex.com/                                           
super-micro                SMCI    q4            https://ir.supermicro.com/                                       
teradyne                   TER     notified      https://investors.teradyne.com/                                  
tesla                      TSLA    notified      https://ir.tesla.com/                                            
tjx                        TJX     notified      https://investor.tjx.com/                                        
tractor-supply             TSCO    unknown       https://ir.tractorsupply.com/                                    
united-airlines            UAL     notified      https://ir.united.com/                                           
universal-health-services  UHS     notified      https://ir.uhs.com/                                              
verisign                   VRSN    notified      https://investor.verisign.com/                                   
verizon                    VZ      notified      https://www.verizon.com/about/investors                          
vertex-pharmaceuticals     VRTX    notified      https://investors.vrtx.com/                                      
vertiv                     VRT     q4            https://investors.vertiv.com/                                    
virtu                      VIRT    notified      https://ir.virtu.com/                                            
visa                       V       q4            https://investor.visa.com/                                       
western-digital            WDC     notified      https://investor.wdc.com/                                        
workday                    WDAY    notified      https://investor.workday.com/                                    
