year,slug,ticker,release_count
2026,abbvie,ABBV,11
2026,amd,AMD,21
2026,apollo,APO,38
2026,axon,AXON,5
2026,bio-techne,TECH,17
2026,builders-firstsource,BLDR,7
2026,caseys,CASY,14
2026,cdw,CDW,10
2026,centene,CNC,53
2026,chipotle,CMG,25
2026,coinbase,COIN,8
2026,costco,COST,10
2026,fedex,FDX,1
2026,fedex-freight,FDXF,6
2026,genuine-parts,GPC,9
2026,ibm,IBM,78
2026,netflix,NFLX,7
2026,nike,NKE,1
2026,paramount,PSKY,24
2026,robinhood,HOOD,16
2026,seagate,STX,16
2026,spacex,SPCX,1
2026,teradyne,TER,15
2026,tjx,TJX,6
2026,travelers,TRV,23
2026,virtu,VIRT,1
