slug,ticker,platform,scrape_url
abbott,ABT,aem,https://www.abbott.com/en-us/investors
accenture,ACN,investis,https://investor.accenture.com/news-releases
adp,ADP,q4,https://investors.adp.com/news/default.aspx
aflac,AFL,unknown,https://investors.aflac.com/
akamai,AKAM,notified,https://www.ir.akamai.com/news-releases
albemarle,ALB,unknown,https://investors.albemarle.com/
alexandria-real-estate-equities,ARE,q4,https://investor.are.com/news/default.aspx
allstate,ALL,notified,https://www.allstateinvestors.com/news-releases
altria,MO,notified,https://www.altria.com/Investors/news-releases
amazon,AMZN,unknown,https://ir.aboutamazon.com/
amcor,AMCR,unknown,https://www.amcor.com/investors
ameriprise,AMP,q4,https://ir.ameriprise.com/news/default.aspx
analog-devices,ADI,notified,https://investor.analog.com/press-releases
apa,APA,notified,https://investor.apacorp.com/news-releases
apple,AAPL,unknown,https://investor.apple.com/
applied-materials,AMAT,notified,https://ir.appliedmaterials.com/news-releases
aptiv,APTV,q4,https://ir.aptiv.com/news/default.aspx
archer-daniels-midland,ADM,q4,https://www.investors.adm.com/news/default.aspx
ares,ARES,unknown,https://ir.ares.com/
arista-networks,ANET,unknown,https://investors.arista.com/
arthur-j-gallagher,AJG,q4,https://investor.ajg.com/news/default.aspx
assurant,AIZ,unknown,https://ir.assurant.com/
atmos-energy,ATO,q4,https://www.investors.atmosenergy.com/news/default.aspx
autodesk,ADSK,notified,https://investors.autodesk.com/news-releases
autozone,AZO,notified,https://about.autozone.com/investor-overview/news-releases
baxter,BAX,q4,https://investor.baxter.com/news/default.aspx
biogen,BIIB,notified,https://investors.biogen.com/news-releases
blackstone,BX,unknown,https://ir.blackstone.com/
bls,,unknown,https://www.bls.gov/newsrelease/
booking,BKNG,q4,https://ir.bookingholdings.com/news/default.aspx
broadcom,AVGO,notified,https://investors.broadcom.com/news-releases
builders-firstsource,BLDR,q4,https://investors.bldr.com/news/default.aspx
c-h-robinson,CHRW,q4,https://investor.chrobinson.com/news/default.aspx
cadence,CDNS,q4,https://investor.cadence.com/news/default.aspx
carrier,CARR,q4,https://ir.carrier.com/news/default.aspx
cbre,CBRE,notified,https://ir.cbre.com/news-releases
cf-industries,CF,q4,https://investor.cfindustries.com/news/default.aspx
charter,CHTR,notified,https://ir.charter.com/news-releases
ciena,CIEN,q4,https://investor.ciena.com/news/default.aspx
cigna,CI,unknown,https://investors.thecignagroup.com/
cinfin,CINF,investorroom,https://investors.cinfin.com/news-releases
cintas,CTAS,unknown,https://www.cintas.com/investors/
cme,CME,aem,https://www.cmegroup.com/investor-relations.html
cms-energy,CMS,notified,https://www.cmsenergy.com/investor-relations/news-releases
cognizant,CTSH,q4,https://investors.cognizant.com/news/default.aspx
coherent,COHR,aem,https://www.coherent.com/company/investor-relations
conagra,CAG,unknown,https://www.conagrabrands.com/investor-relations
constellation-brands,STZ,notified,https://ir.cbrands.com/news-releases
corteva,CTVA,notified,https://investors.corteva.com/news-releases
criver,CRL,notified,https://ir.criver.com/news-releases
crowdstrike,CRWD,notified,https://ir.crowdstrike.com/press-releases
crown-castle,CCI,notified,https://investor.crowncastle.com/news-releases
cummins,CMI,unknown,https://investor.cummins.com/
cvs,CVS,q4,https://investors.cvshealth.com/news/default.aspx
darden-restaurants,DRI,q4,https://investor.darden.com/news/default.aspx
datadog,DDOG,notified,https://investors.datadoghq.com/news-releases
davita,DVA,investorroom,https://investors.davita.com/news-releases
deckers,DECK,notified,https://ir.deckers.com/news-events/press-releases
deere,DE,unknown,https://investor.deere.com/
dell,DELL,notified,https://investors.delltechnologies.com/news-releases
delta-air-lines,DAL,q4,https://ir.delta.com/news/default.aspx
devon-energy,DVN,unknown,https://investors.devonenergy.com/
dexcom,DXCM,q4,https://investors.dexcom.com/news/default.aspx
digital-realty-trust,DLR,notified,https://investor.digitalrealty.com/news-releases
disney,DIS,q4,https://investors.thewaltdisneycompany.com/news/default.aspx
dollar-tree,DLTR,notified,https://corporate.dollartree.com/investors/news-releases
doordash,DASH,q4,https://ir.doordash.com/news/default.aspx
dover,DOV,unknown,https://www.dovercorporation.com/investors
eaton,ETN,notified,https://www.eaton.com/us/en-us/company/investor-relations.html/news-releases
ebay,EBAY,q4,https://investors.ebayinc.com/news/default.aspx
ecolab,ECL,q4,https://investor.ecolab.com/news/default.aspx
edison-international,EIX,unknown,https://www.edison.com/investors
eli-lilly,LLY,notified,https://investor.lilly.com/news-releases
emcor,EME,unknown,https://emcorgroup.com/investor-relations
emerson,EMR,notified,https://ir.emerson.com/news-releases
eog-resources,EOG,investorroom,https://investors.eogresources.com/news-releases
eqt,EQT,q4,https://ir.eqt.com/news/default.aspx
